Sharepoint data,Sharepoint field name,Dublin Core (DigiTool),KUL_SCP_DGTL_SHP (oracle table),Oracle Data type,Oracle value mask,scopeArchiv,scopeArchiv id,scopeArchiv > link to DTL,
,,,,,,,,,
Directly derived fields from Sharepoint ingest(no real mapping),,,,,,,,,
corrected mapping as the old mapping field doesnt exist,,,,,,,,,
Info added for the LIAS Sharepoint ingester,,,,,,,,,
,,,,,,,,,
Inhoudstype,ows_ContentType,,TBS_FRMLR_FRMLR_NM,,,Form,,,
Id,ows_ID,,ows_Id,,,Id [only for import],,,
Id parent,,,,,,Id parent [only for import],,,
Access regulations,ows_Access_x0020_regulations,,ACCESS_REGULATIONS_10039,,,Access regulations,10039,,
Access rights model,ows_Access_x0020_rights_x0020_model,,OWS_ACCESS_RIGHTS_X0020_MODEL,,,,,,
Accruals,ows_Accruals,,ACCRUALS_10036,,,Accruals,10036,,
Acquisition,ows_Acquisition,,ACQUISITION_10112,,,Acquisition,10112,,
Acquisition date,ows_Acquisition_x0020_date,,ACQUISITION_DATE_10188,,,Acquisition date,10188,,
Acquisition method,ows_Acquisition_x0020_method,,ACQUISITION_METHOD_10189,,,Acquisition method,10189,,
Appraisal and destruction,ows_Appraisal_x0020_and_x0020_destruction,,APPRAISAL_DESTRUCTION_10035,,,Appraisal and destruction,10035,,
Archival history,ows_Archival_x0020_history,,ARCHIVAL_HISTORY_10010,,,Archival history,10010,,
Archival material types,ows_Archival_x0020_material_x0020_types,,TYPE_OF_ARCHIVAL_MATERIAL_17,,,Archival material types,17,,
Archivist(s) notes,ows_Archivist_x0028_s_x0029__x0020_notes,,ARCHIVISTS_NOTE_10119,,,Archivist(s) notes,10119,,
Bibliography,ows_Bibliography,,BIBLIOGRAPHY_10113,,,Bibliography,10113,,
Category film,ows_Category_x0020_film,,CATEGORY_FILM_10153,,,Category film,10153,,
Collection period,ows_Collection_x0020_period,,COLLECTION_TIME_PERIOD_13,,,Collection period,13,,
Color-image editing,ows_Color-image_x0020_editing,,TECH_MEDIA_COPIES_FILM_10155,,,Color-image editing,10155,,
Content,ows_Content,<dc:description>,DESCRIPTION_OF_CONTENTS_10034,,,Content,10034,,
"Copies (existence, storage area)",ows_Copies_x0020__x0028_existence_x002C__x0020_storage_x0020_area_x0029_,,COPY_EXIST_STORAGE_AREA_10044,,,"Copies (existence, storage area)",10044,,
Creation date from,ows_Startdate,,CREATION_DATE_FROM_7,,,Creation date (from),7,Date of creation (DC),
Creation date from (approx.),ows_Creation_x0020_date_x0020_from_x0020__x0028_approx_x002e__x0029_,,CREATION_DATE_FROM_APPROX_7,,,Creation date (from) (approx.),7,,
Creation date to,ows_Enddate,,CREATION_DATE_TO_7,,,Creation date (to),7,,
Creation date to (approx.),ows_Creation_x0020_date_x0020_to_x0020__x0028_approx_x002e__x0029_,,CREATION_DATE_TO_APPROX_7,,,Creation date (to) (approx.),7,,
Creation date(s) details,ows_Creation_x0020_date_x0028_s_x0029_,<dc:date>,CREATION_DATES_DETAILS_10056,,,Creation date(s) details,10056,,
Creation date(s) remarks,ows_Creation_x0020_date_x0028_s_x0029__x0020_remarks,,CREATION_DATES_REMARKS_10148,,,Creation date(s) remarks,10148,,
Creator,ows_Author,<dc:creator>,ows_Author,,,,,Creator (DC),
Date of description,ows_Date_x0020_of_x0020_description,,DATES_OF_DESCRIPTION_10120,,,Date of description,10120,,
Date created,ows_Created,,ows_Created,,,,,,
Date modified,ows_Modified,,ows_Modified,,,,,,
Description,ows_Description,<dc:description>,DESCRIPTION_10181,,,Description,10181,,
Designer,ows_Designer,"<dc:creator> "" (designer)""",DESIGNER_10179,,,Designer,10179,,
